GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
500,1087UGA,107932,29/08/2001,2001,1,Battle-No change of territory,Military Forces of Uganda (1986-),,1,Interahamwe Militia,,3,13,Uganda,Kisoro,Kisoro,Nyarusiza,Kisoro,-1.35390,29.69830,1,BBC Monitoring Service: Africa,UPDF [Uganda People's Defence Force] soldiers on Sunday [26 August] clashed with a group of renegade Rwanda Interahamwe [Hutu] militias on the Uganda-[DR]Congo border in Kisoro District.,0
500,1088UGA,107933,01/09/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,LRA: Lord's Resistance Army,,2,27,Uganda,Moyo,West Moyo,Dufile,Bibia,3.55222,31.94861,2,Agence France Presse,LRA attacks civilians,0
500,1089UGA,107934,01/09/2001,2001,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Sudan),,7,27,Uganda,Adjumani,East Moyo,Pakelle,Adjumani,3.36139,31.80972,2,"Lloyd's Information Casualty Report 4/9/01, Agence France Presse 3/9/01",Suspected LRA rebels ambushed an aid agency vehicle near Uganda's border with Sudan - 6 Sudanese civilians were killed,6
500,1090UGA,107935,13/09/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,Karamajong Ethnic Militia (Uganda),,4,47,Uganda,Katakwi,Usuk,Katakwi,Katakwi,1.89111,33.96611,2,"BBC Monitoring, 9/15/2001",Karamojong attack IDP camp,0
500,1091UGA,107936,15/09/2001,2001,1,Violence against civilians,Vigilante Militia (Uganda),,4,Civilians (Uganda),Karamajong Ethnic Group (Uganda),7,47,Uganda,Katakwi,Usuk,Katakwi,Katakwi,1.89111,33.96611,2,"BBC Monitoring, 9/15/2001",Mob kills Karamojong in revenge attack,0
500,1092UGA,107937,16/09/2001,2001,3,Strategic development,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,,,0,20,Uganda,Kasese,Busongora,Kasese Tc,Kasese,0.18333,30.08333,1,"BBC Monitoring, 9/22/2001",ADF members surrender to UPDF,0
500,1093UGA,107938,17/10/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,27,Uganda,Hoima,Buhaguzi,Kyangwali,Nsozi,1.23330,30.93330,1,"All Africa, 10/18/2001",ADF attacks civilians on bus,0
500,1094UGA,107939,18/10/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,LRA: Lord's Resistance Army,,2,27,Uganda,Gulu,Aswa,Awach,Awach,3.00000,32.40000,1,"Xinhua, 10/20/2001",LRA attacks civilians,0
500,1095UGA,107940,18/10/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,LRA: Lord's Resistance Army,,2,27,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,1,"Xinhua, 10/20/2001",LRA attacks civilians,0
500,1096UGA,107941,21/10/2001,2001,1,Strategic development,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,Kitgum,Lamwo,Palabek Kal,Palabek,3.43330,32.56670,2,"BBC Monitoring, 10/25/2001",LRA rebels surrender,0
500,1097UGA,107942,29/10/2001,2001,1,Battle-No change of territory,Military Forces of Uganda (1986-),,1,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,12,Uganda,Kisoro,Kisoro,Muramba,Virunga National Park,-1.38333,29.63330,1,"Xinhua, 10/31/2001",UPDF clashes with ADF,0
500,1098UGA,107943,11/11/2001,2001,1,Violence against civilians,Civilians (Uganda),,7,LRA: Lord's Resistance Army,,2,27,Uganda,Gulu,Kilak,Atiak,Atiak,3.24500,32.14110,1,"BBC Monitoring, 11/15/2001",LRA attacks civilians,0
