GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
450,243LBR,42830,04/04/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Foya,Tengia,Foya,8.27000,-10.31000,1,Associated Press Newswires,,0
450,244LBR,42831,05/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Lower Kru Coast,Guma/Mende,Vahun,8.06390,-10.50330,1,See Original Data,See Original Data,0
450,245LBR,42832,05/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Foya,Tengia,Foya,8.27000,-10.31000,1,See Original Data,See Original Data,0
450,246LBR,42833,07/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Zorzor,Gizzima,Zorzor,7.78000,-9.43000,1,See Original Data,See Original Data,0
450,247LBR,42834,07/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Lower Kru Coast,Guma/Mende,Vahun,8.06390,-10.50330,1,See Original Data,See Original Data,0
450,248LBR,42835,07/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,249LBR,42836,07/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Voinjama,Upper Worker,Voinjama,8.42258,-9.75244,1,See Original Data,See Original Data,0
450,250LBR,42837,12/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,251LBR,42838,12/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Foya,Tengia,Foya,8.27000,-10.31000,1,See Original Data,See Original Data,0
450,252LBR,42839,13/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,253LBR,42840,13/04/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Foya,Tengia,Foya,8.27000,-10.31000,1,See Original Data,See Original Data,0
450,254LBR,42842,14/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Zorzor,Gizzima,Zorzor,7.78000,-9.43000,1,See Original Data,See Original Data,0
450,255LBR,42843,14/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Lower Kru Coast,Guma/Mende,Vahun,8.06390,-10.50330,1,See Original Data,See Original Data,0
450,256LBR,42844,14/04/2001,2001,2,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,257LBR,42841,14/04/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,Xinhua,fighting between rebels and gov killed civilians,0
