GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
450,346LBR,42933,08/12/2001,2001,1,Battle-Non-state actor overtakes territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,347LBR,42934,09/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Belleh,Bartee,Belle Fassamah,7.52222,-9.99944,1,See Original Data,See Original Data,0
450,348LBR,42935,09/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Kolahun,Tahamba,Kolahun,8.28690,-10.08440,1,See Original Data,See Original Data,0
450,349LBR,42936,09/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Lofa,Foya,Tengia,Geingba,8.37690,-10.28190,1,See Original Data,See Original Data,0
450,350LBR,42937,09/12/2001,2001,1,Strategic development,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Kongba,Zuie,Kungboh,7.64640,-10.57920,1,See Original Data,See Original Data,0
450,351LBR,42938,10/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Bopolu,Bondi-Mandingo,Bopolu,7.06660,-10.48750,1,See Original Data,See Original Data,0
450,352LBR,42940,10/12/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Gbapolu,Gbarma,Yangayah,Weasua,7.32000,-10.51000,1,Xinhua,,0
450,353LBR,42939,10/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Kongba,Zuie,Kungboh,7.64640,-10.57920,1,See Original Data,See Original Data,0
450,354LBR,42941,11/12/2001,2001,1,Battle-Government regains territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Gbarma,Yangayah,Weasua,7.32000,-10.51000,1,See Original Data,See Original Data,0
450,355LBR,42942,12/12/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Nimba,Sanniquelleh-Mahn,Yarmein,Sawmill,7.56000,-8.56000,1,Xinhua,,0
450,356LBR,42943,13/12/2001,2001,1,Battle-No change of territory,LURD: Liberians United for Reconciliation and Democracy,,2,Military Forces of Liberia (1997-2003),,1,12,Liberia,Nimba,Sanniquelleh-Mahn,Yarmein,Sawmill,7.56000,-8.56000,1,Xinhua,,0
450,357LBR,42944,14/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Belleh,Bartee,Belle Fassamah,7.52222,-9.99944,1,See Original Data,See Original Data,0
450,358LBR,42945,14/12/2001,2001,1,Battle-No change of territory,Military Forces of Liberia (1997-2003),,1,LURD: Liberians United for Reconciliation and Democracy,,2,12,Liberia,Gbapolu,Kongba,Zuie,Kungboh,7.64640,-10.57920,1,See Original Data,See Original Data,0
